,sensor_index,last_modified,date_created,last_seen,private,is_owner,name,icon,location_type,model,hardware,led_brightness,firmware_version,rssi,uptime,pa_latency,memory,position_rating,latitude,longitude,channel_state,channel_flags,channel_flags_manual,channel_flags_auto,confidence,analog_input,pm1.0,pm1.0_a,pm2.5,pm2.5_a,pm2.5_alt,pm2.5_alt_a,pm10.0,pm10.0_a,scattering_coefficient,scattering_coefficient_a,deciviews,deciviews_a,visual_range,visual_range_a,0.3_um_count,0.3_um_count_a,0.5_um_count,0.5_um_count_a,1.0_um_count,1.0_um_count_a,2.5_um_count,2.5_um_count_a,5.0_um_count,5.0_um_count_a,10.0_um_count,10.0_um_count_a,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_atm,pm1.0_atm_a,pm2.5_atm,pm2.5_atm_a,pm2.5_cf_1,pm2.5_cf_1_a,pm10.0_atm,pm10.0_atm_a,pm10.0_cf_1,pm10.0_cf_1_a,primary_id_a,primary_key_a,primary_id_b,primary_key_b,secondary_id_a,secondary_key_a,secondary_id_b,secondary_key_b,stats,stats_a,confidence_auto,confidence_manual,humidity,humidity_a,temperature,temperature_a,pressure,pressure_a,pm1.0_b,pm2.5_b,pm2.5_alt_b,pm10.0_b,scattering_coefficient_b,deciviews_b,visual_range_b,0.3_um_count_b,0.5_um_count_b,1.0_um_count_b,2.5_um_count_b,5.0_um_count_b,10.0_um_count_b,pm1.0_cf_1_b,pm1.0_atm_b,pm2.5_atm_b,pm2.5_cf_1_b,pm10.0_atm_b,pm10.0_cf_1_b,stats_b,altitude,ozone1,humidity_b,temperature_b,pressure_b,voc,voc_b
182,18375,1616950732,1541178053,1706641133,0,0,Murray Horizon Elementary powered by UTOPIA Fiber,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-74,62117,238.0,15424,5,40.656242,-111.91033,3,1,0,1,0,0.01,0.0,9.6,0.0,15.1,0.0,8.9,0.0,17.2,,29.2,,15.1,,86.5,0,1950,0,544,0,91,0,9,0,1,0,0,0.0,9.64,0.0,9.64,0.0,15.08,0.0,15.08,0.0,17.25,0.0,17.25,617244.0,H2SUUO00L4XVYI16,617246.0,OF384GMW5LT43LUW,617245.0,DUPE61V9EKOS9E91,617247.0,5KKEBH6ABB5C0FOD,"{'pm2.5': 0.0, 'pm2.5_10minute': 0.0, 'pm2.5_30minute': 0.0, 'pm2.5_60minute': 0.0, 'pm2.5_6hour': 0.0, 'pm2.5_24hour': 0.0, 'pm2.5_1week': 0.0, 'time_stamp': 1706641133}","{'pm2.5': 15.1, 'pm2.5_10minute': 17.9, 'pm2.5_30minute': 25.1, 'pm2.5_60minute': 28.8, 'pm2.5_6hour': 33.7, 'pm2.5_24hour': 24.8, 'pm2.5_1week': 15.9, 'time_stamp': 1706641133}",0.0,0.0,25.0,25.0,76.0,76.0,876.55,876.55,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'pm2.5': 0.0, 'pm2.5_10minute': 0.0, 'pm2.5_30minute': 0.0, 'pm2.5_60minute': 0.0, 'pm2.5_6hour': 0.0, 'pm2.5_24hour': 0.0, 'pm2.5_1week': 0.0, 'time_stamp': 1706641133}",4298.0,,,,,,
183,18377,1578069581,1541178072,1706641143,0,0,Tremonton 1000N 9000W powered by UTOPIA Fiber,0,0,PA-II,2.0+PMSX003-B+PMSX003-A,35,7.02,-49,24823,250.0,15776,3,41.725204,-112.23634,3,0,0,0,100,0.03,10.9,10.1,17.9,16.9,8.2,7.4,20.1,18.8,26.9,24.1,14.4,13.6,92.9,100.2,1791,1606,507,454,87,80,12,11,1,2,0,1,10.9,10.07,10.9,10.07,17.9,16.88,17.9,16.88,20.1,18.76,20.1,18.76,617248.0,RE9B4W01EJOZ89ME,617250.0,GKJQ9OBYK4V6V8DC,617249.0,UZTPHCADPLLUOAWI,617251.0,46XU4Z9QPPG98YW5,"{'pm2.5': 17.9, 'pm2.5_10minute': 17.7, 'pm2.5_30minute': 15.6, 'pm2.5_60minute': 13.6, 'pm2.5_6hour': 10.2, 'pm2.5_24hour': 12.3, 'pm2.5_1week': 11.8, 'time_stamp': 1706641143}","{'pm2.5': 16.9, 'pm2.5_10minute': 15.8, 'pm2.5_30minute': 14.0, 'pm2.5_60minute': 12.4, 'pm2.5_6hour': 9.5, 'pm2.5_24hour': 11.5, 'pm2.5_1week': 11.2, 'time_stamp': 1706641143}",100.0,100.0,,,,,,,11.7,19.0,8.9,21.4,29.6,15.2,85.6,1976.0,560.0,95.0,14.0,1.0,0.0,11.73,11.73,18.98,18.98,21.45,21.45,"{'pm2.5': 19.0, 'pm2.5_10minute': 19.6, 'pm2.5_30minute': 17.1, 'pm2.5_60minute': 14.8, 'pm2.5_6hour': 10.9, 'pm2.5_24hour': 13.1, 'pm2.5_1week': 12.5, 'time_stamp': 1706641143}",4512.0,,,,,,
184,18393,1626982423,1541178246,1706641191,0,0,Orem Public Works powered by UTOPIA Fiber,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-35,62113,240.0,15728,0,40.308365,-111.72981,3,0,0,0,100,0.02,14.5,15.4,23.5,24.3,12.8,13.4,24.7,26.6,38.1,39.5,17.2,17.5,70.0,67.9,2540,2634,766,801,138,145,14,14,0,1,0,0,14.5,15.37,14.5,15.37,23.5,24.27,23.5,24.27,24.7,26.65,24.7,26.65,617283.0,AE26ODX73IK7I2XD,617285.0,92FGD9XK0PIW23QW,617284.0,E7AQLE2OAZ9JY16H,617286.0,R8SSLI1TU6F2AI5G,"{'pm2.5': 23.5, 'pm2.5_10minute': 24.6, 'pm2.5_30minute': 23.7, 'pm2.5_60minute': 23.2, 'pm2.5_6hour': 19.8, 'pm2.5_24hour': 15.2, 'pm2.5_1week': 12.5, 'time_stamp': 1706641191}","{'pm2.5': 24.3, 'pm2.5_10minute': 25.6, 'pm2.5_30minute': 24.5, 'pm2.5_60minute': 23.9, 'pm2.5_6hour': 20.4, 'pm2.5_24hour': 15.8, 'pm2.5_1week': 13.0, 'time_stamp': 1706641191}",100.0,100.0,38.0,38.0,81.0,81.0,867.5,867.5,13.6,22.7,12.2,22.7,36.7,16.9,72.2,2447.0,732.0,131.0,14.0,0.0,0.0,13.57,13.57,22.69,22.69,22.69,22.69,"{'pm2.5': 22.7, 'pm2.5_10minute': 23.5, 'pm2.5_30minute': 22.9, 'pm2.5_60minute': 22.6, 'pm2.5_6hour': 19.1, 'pm2.5_24hour': 14.5, 'pm2.5_1week': 12.0, 'time_stamp': 1706641191}",4589.0,,,,,,
185,18469,1575004615,1541196130,1706641176,0,0,Devonshire,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-31,18075,229.0,15904,5,40.735943,-111.80772,3,0,0,0,100,0.03,21.4,24.1,34.0,37.0,19.4,22.3,45.3,52.1,66.1,83.0,21.6,23.9,46.1,35.6,4405,5534,1245,1570,207,224,34,43,14,22,0,0,23.3,28.02,21.4,24.11,34.0,36.96,37.0,42.79,45.3,52.12,47.5,56.61,617526.0,E61MJ4MY4RN4RQEL,617528.0,YLFC0VDVS9FGS1F5,617527.0,WY0020ZKNKP35QS7,617529.0,JPDOSX4YORCL2ZGW,"{'pm2.5': 34.0, 'pm2.5_10minute': 35.5, 'pm2.5_30minute': 28.8, 'pm2.5_60minute': 22.8, 'pm2.5_6hour': 22.8, 'pm2.5_24hour': 19.0, 'pm2.5_1week': 12.8, 'time_stamp': 1706641176}","{'pm2.5': 37.0, 'pm2.5_10minute': 37.9, 'pm2.5_30minute': 30.7, 'pm2.5_60minute': 25.7, 'pm2.5_6hour': 26.0, 'pm2.5_24hour': 21.2, 'pm2.5_1week': 14.0, 'time_stamp': 1706641176}",100.0,100.0,47.0,47.0,53.0,53.0,848.25,848.25,18.7,31.1,16.5,38.4,49.1,19.3,56.5,3276.0,920.0,191.0,25.0,7.0,1.0,18.67,18.67,31.14,31.21,38.39,38.39,"{'pm2.5': 31.1, 'pm2.5_10minute': 33.1, 'pm2.5_30minute': 27.0, 'pm2.5_60minute': 19.9, 'pm2.5_6hour': 19.5, 'pm2.5_24hour': 16.7, 'pm2.5_1week': 11.5, 'time_stamp': 1706641176}",5172.0,,,,,,
186,18977,1575004591,1542050777,1706641199,0,0,Sugar House Home,0,1,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-57,40459,233.0,15992,5,40.73472,-111.83385,3,0,0,0,82,0.0,0.2,0.0,0.6,0.1,0.9,0.6,0.8,0.1,2.6,1.8,2.6,2.0,299.9,319.8,170,122,49,36,9,5,0,0,0,0,0,0,0.2,0.0,0.2,0.0,0.6,0.11,0.6,0.11,0.8,0.14,0.8,0.14,624961.0,0WO8SF3PX0B6NDJ2,624963.0,XH80VFMSMVIHYFIF,624962.0,9S9EVZWQBMJK0AGQ,624964.0,VTUQYSD68PEKWB7J,"{'pm2.5': 0.6, 'pm2.5_10minute': 0.4, 'pm2.5_30minute': 0.2, 'pm2.5_60minute': 0.2, 'pm2.5_6hour': 1.6, 'pm2.5_24hour': 2.3, 'pm2.5_1week': 2.8, 'time_stamp': 1706641199}","{'pm2.5': 0.1, 'pm2.5_10minute': 0.1, 'pm2.5_30minute': 0.1, 'pm2.5_60minute': 0.1, 'pm2.5_6hour': 1.3, 'pm2.5_24hour': 1.8, 'pm2.5_1week': 2.2, 'time_stamp': 1706641199}",82.0,82.0,30.0,30.0,80.0,80.0,866.0,866.0,0.4,1.1,1.2,1.4,3.3,3.3,280.1,218.0,62.0,13.0,1.0,0.0,0.0,0.37,0.37,1.07,1.07,1.37,1.37,"{'pm2.5': 1.1, 'pm2.5_10minute': 0.7, 'pm2.5_30minute': 0.4, 'pm2.5_60minute': 0.4, 'pm2.5_6hour': 2.0, 'pm2.5_24hour': 2.8, 'pm2.5_1week': 3.5, 'time_stamp': 1706641199}",4598.0,,,,,,
187,19209,1575004680,1542308985,1706641194,0,0,Legacy Village ,0,1,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-83,48784,267.0,15536,4,40.727207,-111.8513,3,0,0,0,100,0.02,1.7,2.0,3.0,3.3,2.4,2.6,3.4,3.4,8.2,9.4,6.8,7.6,197.9,182.9,545,629,146,158,22,23,0,0,0,0,0,0,1.7,2.04,1.7,2.04,3.0,3.27,3.0,3.27,3.4,3.45,3.4,3.45,628050.0,TQ2RC6URALJ92O76,628053.0,3YQNYOBRQOVWIM3S,628052.0,3TQWHAPBAWCC8K6C,628054.0,52KRFY9ZEM7H5QV2,"{'pm2.5': 3.0, 'pm2.5_10minute': 2.7, 'pm2.5_30minute': 2.5, 'pm2.5_60minute': 2.2, 'pm2.5_6hour': 2.0, 'pm2.5_24hour': 2.0, 'pm2.5_1week': 1.6, 'time_stamp': 1706641194}","{'pm2.5': 3.3, 'pm2.5_10minute': 2.7, 'pm2.5_30minute': 2.5, 'pm2.5_60minute': 2.2, 'pm2.5_6hour': 2.1, 'pm2.5_24hour': 2.1, 'pm2.5_1week': 1.7, 'time_stamp': 1706641194}",100.0,100.0,8.0,8.0,99.0,99.0,872.37,872.37,1.4,2.7,2.2,3.3,6.9,6.1,212.9,462.0,134.0,22.0,1.0,1.0,0.0,1.44,1.44,2.66,2.66,3.31,3.31,"{'pm2.5': 2.7, 'pm2.5_10minute': 2.7, 'pm2.5_30minute': 2.5, 'pm2.5_60minute': 2.1, 'pm2.5_6hour': 1.9, 'pm2.5_24hour': 1.9, 'pm2.5_1week': 1.5, 'time_stamp': 1706641194}",4449.0,,,,,,
188,20239,1575001990,1543439032,1706641165,0,0,Suncrest - Vista Ridge Court,0,0,PA-II-SD,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,35,7.02,-67,18490,243.0,15664,5,40.474003,-111.8389,3,0,0,0,100,0.05,12.9,7.8,20.6,15.5,9.9,8.4,21.4,16.5,33.2,21.8,15.7,12.8,84.7,107.9,2210,1452,654,431,97,102,10,11,0,0,0,0,13.0,7.85,12.9,7.85,20.6,15.49,20.6,15.49,21.4,16.53,21.4,16.53,639196.0,E6QBTXQ2WGK5IOF3,639200.0,IU14WKLNUY12QSQB,639197.0,002X5ZNWUO6NNAWV,639202.0,CAOE13JJAV6I6W5X,"{'pm2.5': 20.6, 'pm2.5_10minute': 27.8, 'pm2.5_30minute': 23.5, 'pm2.5_60minute': 19.8, 'pm2.5_6hour': 19.2, 'pm2.5_24hour': 15.4, 'pm2.5_1week': 8.9, 'time_stamp': 1706641165}","{'pm2.5': 15.5, 'pm2.5_10minute': 19.3, 'pm2.5_30minute': 18.7, 'pm2.5_60minute': 16.8, 'pm2.5_6hour': 18.2, 'pm2.5_24hour': 14.9, 'pm2.5_1week': 8.5, 'time_stamp': 1706641165}",100.0,100.0,47.0,47.0,55.0,55.0,812.22,812.22,18.0,25.7,11.5,26.3,44.5,18.5,61.5,2968.0,878.0,93.0,9.0,0.0,0.0,18.08,18.03,25.68,25.68,26.31,26.31,"{'pm2.5': 25.7, 'pm2.5_10minute': 36.2, 'pm2.5_30minute': 28.4, 'pm2.5_60minute': 22.8, 'pm2.5_6hour': 20.1, 'pm2.5_24hour': 15.9, 'pm2.5_1week': 9.3, 'time_stamp': 1706641165}",6334.0,,,,,,
189,20897,1616969483,1544125109,1706641223,0,0,Jordan Meadows,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-58,27526,292.0,16072,5,40.782787,-111.94669,3,0,0,0,100,0.04,29.1,27.5,44.7,43.3,26.9,27.1,57.6,54.4,81.4,81.1,23.8,23.7,36.2,36.3,5427,5406,1596,1601,290,298,31,34,7,7,2,0,34.2,32.05,29.1,27.51,44.7,43.28,52.8,51.54,57.6,54.42,62.1,58.74,645551.0,7W1W5KMPVB259849,645553.0,03IX41CKFJFVOAEV,645552.0,5PPV9VK7SFAH6NON,645554.0,7W4CI6B402MQAGLW,"{'pm2.5': 44.7, 'pm2.5_10minute': 45.0, 'pm2.5_30minute': 44.6, 'pm2.5_60minute': 44.0, 'pm2.5_6hour': 43.4, 'pm2.5_24hour': 32.0, 'pm2.5_1week': 20.9, 'time_stamp': 1706641223}","{'pm2.5': 43.3, 'pm2.5_10minute': 43.1, 'pm2.5_30minute': 43.1, 'pm2.5_60minute': 42.9, 'pm2.5_6hour': 42.7, 'pm2.5_24hour': 31.4, 'pm2.5_1week': 20.4, 'time_stamp': 1706641223}",100.0,100.0,,,,,,,30.6,46.0,26.6,60.8,81.7,23.8,36.1,5448.0,1592.0,283.0,28.0,7.0,4.0,36.33,30.62,46.04,54.04,60.82,65.51,"{'pm2.5': 46.0, 'pm2.5_10minute': 46.9, 'pm2.5_30minute': 46.0, 'pm2.5_60minute': 45.1, 'pm2.5_6hour': 44.0, 'pm2.5_24hour': 32.6, 'pm2.5_1week': 21.4, 'time_stamp': 1706641223}",4224.0,,,,,,
190,20957,1616975091,1544133266,1706641131,0,0,Viewmont Elementary,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-77,59128,193.0,15704,5,40.64714,-111.91174,3,0,0,0,100,0.01,11.7,11.8,18.2,17.9,10.6,10.7,19.3,19.0,35.0,35.2,16.5,16.5,75.0,74.6,2332,2349,652,661,104,106,7,8,1,1,0,0,11.7,11.81,11.7,11.81,18.2,17.93,18.2,17.93,19.3,19.0,19.3,19.0,645716.0,WJ6NI8OWQ8NJSIRL,645718.0,G561GTK7S7L5ZV4C,645717.0,NRUZX7L9RKSCFJ5J,645719.0,ER18VAXNSQKX7XJ4,"{'pm2.5': 18.2, 'pm2.5_10minute': 19.0, 'pm2.5_30minute': 22.4, 'pm2.5_60minute': 26.2, 'pm2.5_6hour': 32.3, 'pm2.5_24hour': 24.6, 'pm2.5_1week': 16.1, 'time_stamp': 1706641131}","{'pm2.5': 17.9, 'pm2.5_10minute': 19.1, 'pm2.5_30minute': 22.5, 'pm2.5_60minute': 26.3, 'pm2.5_6hour': 32.4, 'pm2.5_24hour': 24.7, 'pm2.5_1week': 16.4, 'time_stamp': 1706641131}",100.0,100.0,25.0,25.0,71.0,71.0,875.03,875.03,11.6,18.4,10.5,19.7,34.7,16.4,75.5,2315.0,643.0,103.0,6.0,2.0,0.0,11.63,11.63,18.43,18.43,19.67,19.67,"{'pm2.5': 18.4, 'pm2.5_10minute': 19.0, 'pm2.5_30minute': 22.4, 'pm2.5_60minute': 26.1, 'pm2.5_6hour': 32.2, 'pm2.5_24hour': 24.6, 'pm2.5_1week': 15.8, 'time_stamp': 1706641131}",4322.0,,,,,,
191,21883,1575004582,1544637563,1706641186,0,0,Crib,0,1,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-42,27364,301.0,15824,5,40.734703,-111.86737,3,0,0,0,100,0.0,0.5,0.3,0.9,0.8,1.0,0.9,1.0,1.0,4.1,3.8,4.0,3.8,261.5,267.6,273,254,73,66,7,7,0,0,0,0,0,0,0.5,0.28,0.5,0.28,0.9,0.76,0.9,0.76,1.0,0.97,1.0,0.97,651339.0,P9QC5VJUY66N24GO,651341.0,EU0KD3N09KVUECQ0,651340.0,FWV2QV26Q5U0Y5P6,651342.0,GSSWTZEHJY770OD4,"{'pm2.5': 0.9, 'pm2.5_10minute': 0.6, 'pm2.5_30minute': 0.6, 'pm2.5_60minute': 0.5, 'pm2.5_6hour': 2.9, 'pm2.5_24hour': 3.6, 'pm2.5_1week': 2.8, 'time_stamp': 1706641186}","{'pm2.5': 0.8, 'pm2.5_10minute': 0.6, 'pm2.5_30minute': 0.5, 'pm2.5_60minute': 0.5, 'pm2.5_6hour': 2.9, 'pm2.5_24hour': 3.6, 'pm2.5_1week': 2.8, 'time_stamp': 1706641186}",100.0,100.0,31.0,31.0,73.0,73.0,875.48,875.48,0.7,1.1,1.1,1.1,4.4,4.2,255.3,293.0,80.0,8.0,0.0,0.0,0.0,0.71,0.71,1.11,1.11,1.11,1.11,"{'pm2.5': 1.1, 'pm2.5_10minute': 0.7, 'pm2.5_30minute': 0.6, 'pm2.5_60minute': 0.5, 'pm2.5_6hour': 2.9, 'pm2.5_24hour': 3.6, 'pm2.5_1week': 2.9, 'time_stamp': 1706641186}",4310.0,,,,,,
192,22189,1575075053,1544737023,1706641200,0,0,MillerHse,0,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-54,69165,314.0,16144,5,40.74451,-111.86226,1,0,0,0,30,0.02,0.2,0.2,0.8,0.8,1.0,1.0,1.8,1.8,3.3,3.3,3.3,3.3,279.7,279.7,219,219,63,63,11,11,2,2,1,1,0,0,0.2,0.23,0.2,0.23,0.8,0.77,0.8,0.77,1.8,1.8,1.8,1.8,652871.0,CLR4MO6EXI5XJ9HA,652873.0,8DAE2GDHPFBGSH8H,652872.0,Y60MX5VW6Y80NQHT,652874.0,0KF8WGUF8X1OXPU7,"{'pm2.5': 0.8, 'pm2.5_10minute': 0.5, 'pm2.5_30minute': 0.3, 'pm2.5_60minute': 0.2, 'pm2.5_6hour': 0.7, 'pm2.5_24hour': 1.9, 'pm2.5_1week': 1.4, 'time_stamp': 1706641200}","{'pm2.5': 0.8, 'pm2.5_10minute': 0.5, 'pm2.5_30minute': 0.3, 'pm2.5_60minute': 0.2, 'pm2.5_6hour': 0.7, 'pm2.5_24hour': 1.9, 'pm2.5_1week': 1.4, 'time_stamp': 1706641200}",,,24.0,24.0,81.0,81.0,874.99,874.99,,,,,,,,,,,,,,,,,,,,,4347.0,,,,,,
193,22647,1686769939,1544909309,1706641222,0,0,Ksel,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-59,69385,476.0,15544,5,40.57964,-111.80601,3,0,0,0,100,0.01,11.3,11.7,17.2,18.2,10.7,11.4,19.3,21.1,32.8,34.5,16.0,16.4,79.1,75.9,2188,2298,616,625,112,126,9,11,1,1,0,0,11.3,11.71,11.3,11.71,17.2,18.25,17.2,18.25,19.3,21.07,19.3,21.07,654880.0,SBYMVY6VWPR2ZB2H,654882.0,13S501F8EAQSUSZC,654881.0,M0FW6W4X3IL14H96,654883.0,4N05P8LUAU5V89NB,"{'pm2.5': 17.2, 'pm2.5_10minute': 18.2, 'pm2.5_30minute': 15.0, 'pm2.5_60minute': 10.8, 'pm2.5_6hour': 10.4, 'pm2.5_24hour': 11.4, 'pm2.5_1week': 8.7, 'time_stamp': 1706641222}","{'pm2.5': 18.2, 'pm2.5_10minute': 18.2, 'pm2.5_30minute': 14.9, 'pm2.5_60minute': 10.6, 'pm2.5_6hour': 10.2, 'pm2.5_24hour': 11.1, 'pm2.5_1week': 8.6, 'time_stamp': 1706641222}",100.0,100.0,32.0,32.0,65.0,65.0,850.56,850.56,10.8,16.2,9.9,17.6,31.2,15.6,82.2,2079.0,608.0,99.0,7.0,1.0,0.0,10.83,10.83,16.22,16.22,17.57,17.57,"{'pm2.5': 16.2, 'pm2.5_10minute': 18.1, 'pm2.5_30minute': 15.1, 'pm2.5_60minute': 10.9, 'pm2.5_6hour': 10.7, 'pm2.5_24hour': 11.6, 'pm2.5_1week': 8.8, 'time_stamp': 1706641222}",5149.0,,,,,,
194,22955,1576083585,1545155068,1706641146,0,0,Dover,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-72,33087,576.0,15936,5,40.741535,-111.818665,3,0,0,0,100,0.02,15.8,16.5,27.9,32.2,14.5,16.2,32.4,36.0,43.4,45.3,18.3,18.6,62.9,60.5,2894,3023,852,899,168,202,26,35,5,4,1,0,15.8,16.47,15.8,16.47,27.9,32.19,28.5,33.36,32.4,35.98,32.4,35.98,657292.0,EZZ3PM4XNN1RB2G7,657294.0,9T13D5SJB71OEA6H,657293.0,5TQFF0CBSCZP49BM,657295.0,B0WLD529S8QCQ6OT,"{'pm2.5': 27.9, 'pm2.5_10minute': 29.3, 'pm2.5_30minute': 28.0, 'pm2.5_60minute': 22.5, 'pm2.5_6hour': 16.7, 'pm2.5_24hour': 13.8, 'pm2.5_1week': 9.2, 'time_stamp': 1706641146}","{'pm2.5': 32.2, 'pm2.5_10minute': 32.6, 'pm2.5_30minute': 31.0, 'pm2.5_60minute': 24.8, 'pm2.5_6hour': 18.4, 'pm2.5_24hour': 15.1, 'pm2.5_1week': 10.1, 'time_stamp': 1706641146}",100.0,100.0,37.0,37.0,54.0,54.0,857.9,857.9,15.2,23.6,12.8,28.8,41.5,17.9,65.2,2766.0,806.0,135.0,17.0,7.0,2.0,15.2,15.2,23.64,23.64,28.78,28.78,"{'pm2.5': 23.6, 'pm2.5_10minute': 26.0, 'pm2.5_30minute': 25.1, 'pm2.5_60minute': 20.2, 'pm2.5_6hour': 15.0, 'pm2.5_24hour': 12.5, 'pm2.5_1week': 8.3, 'time_stamp': 1706641146}",4870.0,,,,,,
195,23267,1642023390,1545253749,1706641153,0,0,"Pelican pond Young Ward, Wellsville",0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-57,57817,294.0,15936,5,41.691525,-111.918686,3,0,0,0,100,0.06,12.4,12.2,20.6,21.0,10.5,9.7,22.5,23.3,32.4,28.8,15.8,14.9,80.4,87.6,2159,1918,620,554,109,106,9,10,1,2,0,1,12.4,12.2,12.4,12.2,20.6,20.95,20.6,20.95,22.5,23.29,22.5,23.29,658519.0,BT8FQ829U904WY0W,658521.0,FIU0N8DSUQWWLC9W,658520.0,4TOW3QU9CN266ZWS,658522.0,ANWBIU733JAQW33Y,"{'pm2.5': 20.6, 'pm2.5_10minute': 21.6, 'pm2.5_30minute': 22.2, 'pm2.5_60minute': 23.6, 'pm2.5_6hour': 29.0, 'pm2.5_24hour': 29.6, 'pm2.5_1week': 22.1, 'time_stamp': 1706641153}","{'pm2.5': 21.0, 'pm2.5_10minute': 22.4, 'pm2.5_30minute': 23.0, 'pm2.5_60minute': 24.4, 'pm2.5_6hour': 30.1, 'pm2.5_24hour': 30.9, 'pm2.5_1week': 23.0, 'time_stamp': 1706641153}",100.0,100.0,,,,,,,12.6,20.3,11.2,21.7,36.0,16.7,73.3,2401.0,687.0,112.0,8.0,1.0,0.0,12.61,12.61,20.31,20.31,21.69,21.69,"{'pm2.5': 20.3, 'pm2.5_10minute': 20.8, 'pm2.5_30minute': 21.4, 'pm2.5_60minute': 22.8, 'pm2.5_6hour': 28.0, 'pm2.5_24hour': 28.3, 'pm2.5_1week': 21.2, 'time_stamp': 1706641153}",4440.0,,,,,,
196,23367,1573170064,1545257242,1706641216,0,0,Silver Springs Snyderville,0,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,35,7.02,-65,21305,631.0,15728,5,40.69908,-111.53661,3,0,0,0,100,0.02,1.3,1.7,2.1,2.7,1.7,1.9,2.6,3.0,7.2,8.4,6.2,7.0,211.1,194.0,477,561,134,155,12,14,1,2,0,0,0,0,1.3,1.72,1.3,1.72,2.1,2.72,2.1,2.72,2.6,3.02,2.6,3.02,658723.0,IGKY8GC9EJA7SQW1,658726.0,19C47GAYDIE0N6KK,658725.0,QY6XFBJM2R831ZTU,658727.0,5MJEK4LF5XSICJ6S,"{'pm2.5': 2.1, 'pm2.5_10minute': 3.5, 'pm2.5_30minute': 4.8, 'pm2.5_60minute': 4.8, 'pm2.5_6hour': 2.9, 'pm2.5_24hour': 4.2, 'pm2.5_1week': 3.9, 'time_stamp': 1706641216}","{'pm2.5': 2.7, 'pm2.5_10minute': 3.8, 'pm2.5_30minute': 5.2, 'pm2.5_60minute': 5.1, 'pm2.5_6hour': 3.1, 'pm2.5_24hour': 4.5, 'pm2.5_1week': 4.1, 'time_stamp': 1706641216}",100.0,100.0,21.0,21.0,74.0,74.0,808.5,808.5,0.9,1.5,1.4,2.1,5.9,5.4,228.2,394.0,114.0,11.0,1.0,1.0,0.0,0.91,0.91,1.47,1.47,2.09,2.09,"{'pm2.5': 1.5, 'pm2.5_10minute': 3.2, 'pm2.5_30minute': 4.5, 'pm2.5_60minute': 4.4, 'pm2.5_6hour': 2.7, 'pm2.5_24hour': 4.0, 'pm2.5_1week': 3.7, 'time_stamp': 1706641216}",6519.0,,,,,,
197,23505,1575075041,1545431235,1706641215,0,0,8th&amp;8th,0,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-73,14448,442.0,16344,5,40.751972,-111.86819,1,0,0,0,30,0.04,1.1,1.1,2.6,2.6,2.0,2.0,2.6,2.6,5.2,5.2,4.9,4.9,239.8,239.8,348,348,102,102,23,23,2,2,0,0,0,0,1.1,1.09,1.1,1.09,2.6,2.57,2.6,2.57,2.6,2.64,2.6,2.64,660357.0,7KO16799H7RHQFI8,660359.0,TTBGALVWEDVMYQU0,660358.0,4NH5ZIFKCCFPKUSH,660360.0,WUIG3JPKGTPKW451,"{'pm2.5': 2.6, 'pm2.5_10minute': 2.6, 'pm2.5_30minute': 2.4, 'pm2.5_60minute': 2.7, 'pm2.5_6hour': 15.1, 'pm2.5_24hour': 10.7, 'pm2.5_1week': 3.9, 'time_stamp': 1706641215}","{'pm2.5': 2.6, 'pm2.5_10minute': 2.6, 'pm2.5_30minute': 2.4, 'pm2.5_60minute': 2.7, 'pm2.5_6hour': 15.1, 'pm2.5_24hour': 10.7, 'pm2.5_1week': 3.9, 'time_stamp': 1706641215}",,,19.0,19.0,83.0,83.0,876.44,876.44,,,,,,,,,,,,,,,,,,,,,4293.0,,,,,,
